3,15,18,0,0,
3,15,18,1,0,
3,15,18,0,1,
3,16,19,0,1,
3,16,19,1,0,
3,16,19,0,0,
7,12,19,0,1,
7,12,19,1,0,
7,12,19,0,0,
3,17,20,0,1,
3,15,18,1,1,
3,16,19,1,1,
4,16,20,0,1,
7,12,19,1,1,
3,17,20,1,1,
6,14,20,0,1,
3,17,20,0,0,
3,17,20,1,0,
7,13,20,0,1,
4,16,20,1,0,
8,12,20,0,1,
3,18,21,0,1,
6,14,20,1,0,
4,16,20,0,0,
7,13,20,1,0,
4,17,21,0,1,
4,16,20,1,1,
8,12,20,1,0,
3,18,21,1,0,
6,14,20,1,1,
7,13,20,1,1,
4,17,21,1,0,
5,16,21,0,1,
6,14,20,0,0,
6,15,21,0,1,
7,14,21,0,1,
7,13,20,0,0,
8,13,21,0,1,
3,19,22,0,1,
5,16,21,1,0,
8,12,20,1,1,
3,18,21,1,1,
4,18,22,0,1,
4,17,21,1,1,
8,12,20,0,0,
6,15,21,1,0,
5,16,21,1,1,
3,18,21,0,0,
7,14,21,1,0,
5,17,22,0,1,
6,16,22,0,1,
7,15,22,0,1,
8,14,22,0,1,
4,17,21,0,0,
8,13,21,1,0,
6,15,21,1,1,
3,19,22,1,0,
5,16,21,0,0,
6,15,21,0,0,
7,14,21,0,0,
3,20,23,0,1,
8,13,21,0,0,
3,19,22,0,0,
4,18,22,0,0,
5,17,22,0,0,
4,18,22,1,0,
4,19,23,0,1,
6,16,22,0,0,
5,17,22,1,0,
7,15,22,0,0,
6,16,22,1,0,
7,15,22,1,0,
8,14,22,1,0,
5,18,23,0,1,
3,20,23,1,0,
8,14,22,0,0,
3,20,23,0,0,
6,17,23,0,1,
7,16,23,0,1,
8,15,23,0,1,
7,14,21,1,1,
3,21,24,0,1,
4,19,23,1,0,
4,20,24,0,1,
8,13,21,1,1,
5,19,24,0,1,
3,19,22,1,1,
4,18,22,1,1,
4,19,23,0,0,
5,18,23,0,0,
5,18,23,1,0,
6,17,23,1,0,
7,16,23,1,0,
6,17,23,0,0,
6,18,24,0,1,
8,15,23,1,0,
7,17,24,0,1,
7,16,23,0,0,
3,21,24,1,0,
4,20,24,1,0,
8,15,23,0,0,
5,19,24,1,0,
6,18,24,1,0,
5,17,22,1,1,
7,17,24,1,0,
3,21,24,0,0,
8,16,24,0,1,
8,16,24,1,0,
3,22,25,1,0,
6,16,22,1,1,
7,15,22,1,1,
4,20,24,0,0,
8,14,22,1,1,
3,22,25,0,1,
5,19,24,0,0,
6,18,24,0,0,
4,21,25,0,1,
5,20,25,0,1,
6,19,25,0,1,
7,18,25,0,1,
7,17,24,0,0,
8,17,25,0,1,
4,21,25,1,0,
3,23,26,0,1,
5,20,25,1,0,
3,20,23,1,1,
4,22,26,0,1,
8,16,24,0,0,
6,19,25,1,0,
5,21,26,0,1,
3,22,25,0,0,
4,19,23,1,1,
6,20,26,0,1,
5,18,23,1,1,
6,17,23,1,1,
7,19,26,0,1,
7,16,23,1,1,
7,18,25,1,0,
8,17,25,1,0,
3,23,26,1,0,
8,15,23,1,1,
4,21,25,0,0,
3,21,24,1,1,
5,20,25,0,0,
4,20,24,1,1,
6,19,25,0,0,
5,19,24,1,1,
6,18,24,1,1,
4,22,26,1,0,
7,18,25,0,0,
7,17,24,1,1,
8,18,26,0,1,
3,24,27,0,1,
4,23,27,0,1,
5,21,26,1,0,
8,17,25,0,0,
8,16,24,1,1,
3,22,25,1,1,
6,20,26,1,0,
4,21,25,1,1,
3,23,26,0,0,
7,19,26,1,0,
5,22,27,0,1,
6,21,27,0,1,
4,22,26,0,0,
5,20,25,1,1,
5,21,26,0,0,
6,20,26,0,0,
8,18,26,1,0,
7,19,26,0,0,
8,18,26,0,0,
6,19,25,1,1,
7,18,25,1,1,
3,24,27,1,0,
3,24,27,0,0,
4,23,27,1,0,
3,25,28,0,1,
8,17,25,1,1,
4,23,27,0,0,
5,22,27,1,0,
5,22,27,0,0,
6,21,27,0,0,
3,23,26,1,1,
3,25,28,0,0,
4,22,26,1,1,
5,21,26,1,1,
6,20,26,1,1,
6,21,27,1,0,
7,19,26,1,1,
4,24,28,0,1,
3,25,28,1,0,
4,24,28,0,0,
4,24,28,1,0,
8,18,26,1,1,
3,24,27,1,1,
4,23,27,1,1,
5,22,27,1,1,
6,21,27,1,1,
3,25,28,1,1,
4,24,28,1,1,
